1.00E-03,9.00E-01,2.00E+00,2.50E+02,1.00E+02,0.00E+00,1.33E+01,5.10E+01,6.60E+01,2.11E+02,1.00E+00,9.99E+02
1.00E-03,9.00E-01,2.00E+00,2.50E+02,1.00E+02,0.00E+00,1.46E+01,5.60E+01,8.00E+01,1.86E+02,2.00E+00,9.99E+02
1.00E-03,9.00E-01,2.00E+00,2.50E+02,1.00E+02,0.00E+00,1.33E+01,6.20E+01,6.80E+01,2.27E+02,1.00E+00,9.99E+02
1.00E-03,9.00E-01,2.00E+00,2.50E+02,1.00E+02,0.00E+00,9.76E+00,6.10E+01,4.70E+01,2.66E+02,2.00E+00,9.99E+02
1.00E-03,9.00E-01,2.00E+00,2.50E+01,1.00E+02,0.00E+00,9.63E+00,5.00E+01,4.80E+01,2.74E+02,1.00E+00,9.99E+02
1.00E-03,9.00E-01,2.00E+00,2.50E+01,1.00E+02,0.00E+00,1.26E+01,6.30E+01,6.10E+01,2.27E+02,3.00E+00,3.79E+02
1.00E-03,9.00E-01,2.00E+00,2.50E+01,1.00E+02,0.00E+00,3.68E+00,4.50E+01,1.00E+01,3.73E+02,0.00E+00,9.99E+02
1.00E-03,9.00E-01,2.00E+00,2.50E+01,1.00E+02,0.00E+00,8.31E+00,5.50E+01,4.20E+01,2.89E+02,3.00E+00,3.90E+02
1.00E-03,9.00E-01,2.00E+00,1.00E+02,1.00E+02,0.00E+00,1.50E+01,5.30E+01,7.90E+01,1.92E+02,5.00E+00,3.55E+02
1.00E-03,9.00E-01,2.00E+00,1.00E+02,1.00E+02,0.00E+00,1.45E+01,5.30E+01,7.90E+01,1.87E+02,3.00E+00,3.96E+02
1.00E-03,9.00E-01,2.00E+00,1.00E+02,1.00E+02,0.00E+00,1.30E+01,5.40E+01,7.00E+01,2.22E+02,2.00E+00,9.99E+02
1.00E-03,9.00E-01,2.00E+00,1.00E+02,1.00E+02,0.00E+00,1.68E+01,5.40E+01,8.40E+01,1.61E+02,4.00E+00,3.61E+02
1.00E-03,9.00E-01,3.00E+00,2.50E+02,1.00E+02,2.50E+01,1.30E-01,5.00E+00,0.00E+00,9.99E+02,0.00E+00,9.99E+02
1.00E-03,9.00E-01,3.00E+00,2.50E+02,1.00E+02,2.50E+01,2.10E-01,7.00E+00,0.00E+00,9.99E+02,0.00E+00,9.99E+02
